SharkID,Age,Sex,TL,FL,PCL,G1,G2,G3,G4,G5,Condition,ABF,PBF,AMA,PMA,ACSA,Mass,Jadil,ABPdol,PBPdol,MaxGape,GapeAngle,,
BH1 4-27-15,YoY,F,51.7,40.8,36.6,16.5,17.4,16.3,15.3,12.3,2.13,9.94,41.42,0.23,0.83,1.439,1.86,0.76,3.36,0.91,3.403,88.51,,
BH4 10-3-15,YoY,F,66.4,51.7,47.8,20.1,20.1,18.9,18.5,15.1,1.94,9.13,41.55,0.16,0.63,1.698,2.99,0.63,3.86,1.01,2.748,59.17,,
BH1 4-26-14,YoY,F,67.2,54.7,52.2,20.3,20.3,20.8,19.4,14.2,1.82,19.45,91.56,0.21,0.92,2.999,3.92,0.89,4.28,0.97,5.238,98.136,,*PBP not standardized
BH1 6-20-15,YoY,F,67.8,53.2,48.2,21.9,22.9,22,21.6,17.8,2.2,26.12,97.98,0.24,0.81,3.227,4.7,1.02,4.35,1.26,2.939,60.972,,
BH2 10-17-15,YoY,M,68.6,49.1,45,18.9,19.9,19.8,19.6,16.4,2.1,8.1,61.98,0.34,1.71,2.685,3.2,1.36,4.03,0.8,3.492,71.146,,
BH1 5-30-14,YoY,F,71.4,57.3,51.8,21.3,23.4,22.4,14.9,11.4,1.8,12.14,67.55,0.13,0.63,2.878,5.2,0.59,4.48,0.93,4.908,73.784,,
BH1 7-12-14,YoY,M,73,57.5,53.5,21.5,21.4,23.5,21.5,18,1.98,22.58,108.7,0.3,1.2,2.102,4.8,1.41,4.64,1.17,5.196,90.063,,
BH2 7-12-14,Juv,M,73.5,57.4,52.5,21.1,20.7,21.3,20.6,17.7,1.93,16.94,98.49,0.18,0.87,3.023,4.53,0.8,4.38,0.92,5.254,88.96,,
BH2 5-30-14,Juv,F,73.8,58.8,53.9,22.2,23.1,23,16.6,11.2,1.78,14.15,84.8,0.14,0.64,3.477,5.3,0.62,4.55,0.97,3.031,52.855,,
BH1 4-11-15,Juv,M,76.1,61.8,55.6,22,22.3,22.5,22.4,18.8,1.94,12.67,63.14,0.16,0.71,2.655,5,0.7,4.41,0.98,5.039,93.953,,
BH1 4-25-14,Juv,F,77.4,62.6,56.7,21.8,21.8,23.6,21.9,17.3,1.88,27.93,132.49,0.35,1.57,2.36,4.23,1.54,4.42,0.98,5.364,81.821,,*PBP not standardized
BH6 8-1-14,Juv,F,82.3,63.8,50.7,24.8,23.4,23.7,22.7,19.5,2.25,12.92,37.88,0.22,0.94,3.294,5.4,1.04,4.81,1.1,6.136,101.138,,
BH1 8-8-14,Juv,F,84.3,65.6,60.6,27.2,24.7,24.6,24.4,20.5,2,11.58,66.19,0.13,0.61,2.819,6.6,0.66,5.02,1.08,4.56,80.517,,
BH5 8-9-14,Adult,M,93.1,75.1,69.4,23.7,26.2,26.1,25.7,22.3,1.79,20.36,108.91,0.19,0.85,3.723,7.4,1.02,5.35,1.21,6.747,94.219,,
BH2 7-18-15,Adult,M,94.5,72.6,68.2,28.7,29.9,29.7,29.4,25.1,2.09,11.2,48.47,0.14,0.51,3.415,8.2,0.77,5.67,1.52,4.542,66.628,,
BH1 9-25-15,Adult,M,95,77.3,71.2,29.1,26.4,28,29.4,23.9,1.92,19.65,65.04,0.21,0.94,4.003,8.8,1.12,5.44,1.2,4.374,62.816,,
BH2 8-9-14,Adult,F,96.6,75.6,66.9,27.4,29.3,28.3,27.7,22.8,2.03,24.24,170.38,0.21,1.07,4.283,8.6,1.15,5.46,1.07,3.93,56.654,,
BH4 7-2-16,Adult,F,97.5,78.4,70.5,30.1,30.7,29.6,29.7,25.3,2.06,29.91,144.09,0.17,0.71,6.364,13.9,1.03,5.98,1.45,6.258,79.869,,
BH3 8-1-14,Adult,F,99,80.9,73.9,33.5,34.2,34.1,33.5,28.6,2.22,34.37,160.21,0.23,0.9,5.539,13.6,1.45,6.38,1.61,6.236,78.727,,
BH2 8-1-14,Adult,F,99.5,80,74,33,31.4,32.4,26.6,26.4,2.02,67.36,343.06,0.37,1.61,5.307,13.1,2.36,6.44,1.47,5.767,78.103,,
BH2 8-16-14,Adult,M,99.6,77.5,73,29.3,28.1,28.4,29.3,24.5,1.91,30.15,113.5,0.21,0.74,4.468,10.4,1.2,5.72,1.62,4.908,74.864,,
BH2 7-25-14,Adult,F,100.9,80.6,73.3,29.6,32.3,31.5,29.8,25.2,2.02,58.34,292.68,0.29,1.38,5.902,10,1.79,6.28,1.3,4.445,87.076,,*PBP not standardized
BH1 5-2-14,Adult,F,103.2,81.4,75.3,32.9,34,31.4,22.4,15.6,1.81,69.25,276.85,0.29,1.04,7.162,14.5,1.89,6.41,1.81,6.417,81.126,,
BH5 9-6-14,Adult,F,106.5,85,80.4,32.2,38.3,35.2,35.2,27.9,2.1,82.69,372.92,0.25,0.96,9.472,19.4,1.64,6.66,1.7,8.031,89.624,,
BH7 9-6-14,Adult,F,107.2,84.2,77.3,33.8,37.4,36.4,34.3,27.4,2.19,58.34,330.19,0.27,1.22,7.181,17.5,1.69,6.38,1.39,6.398,76.915,,
BH2 10-10-15,Adult,F,110.6,88.6,81.4,34.3,31.9,32,25.9,22.4,1.8,78.46,368.07,0.32,1.28,7.388,19,2.15,6.79,1.68,7.142,86.15,,
BH1 8-1-14,Adult,F,113.6,93.4,86.8,38.5,40.4,38.5,37.2,31.2,2.14,74.52,336.79,0.25,1.03,8.386,20.5,1.81,7.25,1.75,5.367,75.863,,
BH1 9-6-14,Adult,F,125.4,99.8,92.4,43.2,47.1,44,41.5,33.4,2.26,73.63,299.39,0.2,0.62,10.055,25.5,1.57,7.72,2.52,6.894,73.401,,